Year,Value
1970,70.67787933
1971,69.07636261
1972,68.12718964
1973,68.048172
1974,71.7588501
1975,73.93382263
1976,73.02761078
1977,73.40257263
1978,73.72074127
1979,73.15770721
1980,75.41758728
1981,75.92915344
1982,76.64541626
1983,76.75523376
1984,77.5146637
1985,77.79708099
1986,77.87164307
1987,77.33326721
1988,77.51178741
1989,76.97075653
1990,76.67034912
1991,75.97969055
1992,75.33612823
1993,75.59249878
1994,75.15418243
1995,76.81893158
1996,76.19963074
1997,76.41651917
1998,76.66532135
1999,76.85151672
2000,77.43982697
2001,78.50608826
2002,79.299263
2003,80.43765259
2004,81.43241119
2005,82.6745224
2006,83.3633194
2007,84.74546051
2008,86.75585938
2009,87.83628845
2010,87.58377838
2011,86.67027283
2012,87.10740662
2013,87.42021942
2014,86.9511795
2015,86.59929657
2016,87.32177734
2017,87.03336334
2018,87.05091095
2019,87.061409
2020,87.12680054
2021,87.80371094
2022,90.41710663
